Image,Num_Masks,Avg_IoU,Avg_Stability,Result
car1,29,0.9543,0.9687,SUCCESS ✅
car10,41,0.9566,0.9787,SUCCESS ✅
car11,21,0.959,0.9761,SUCCESS ✅
car12,24,0.952,0.9761,SUCCESS ✅
car13,33,0.9536,0.9762,SUCCESS ✅
car14,29,0.955,0.9782,SUCCESS ✅
car15,27,0.9479,0.9724,SUCCESS ✅
car16,25,0.9645,0.9745,SUCCESS ✅
car17,41,0.9533,0.9722,SUCCESS ✅
car18,30,0.9561,0.9699,SUCCESS ✅
car19,28,0.9611,0.9772,SUCCESS ✅
car2,25,0.9549,0.9765,SUCCESS ✅
car20,34,0.9499,0.9744,SUCCESS ✅
car21,31,0.9565,0.9736,SUCCESS ✅
car22,55,0.9516,0.9779,SUCCESS ✅
car23,21,0.959,0.9761,SUCCESS ✅
car24,32,0.9505,0.9784,SUCCESS ✅
car25,21,0.9552,0.9751,SUCCESS ✅
car3,36,0.953,0.975,SUCCESS ✅
car4,26,0.949,0.9728,SUCCESS ✅
car5,27,0.9547,0.9723,SUCCESS ✅
car6,28,0.9628,0.9764,SUCCESS ✅
car7,37,0.9452,0.9764,SUCCESS ✅
car8,35,0.9555,0.9749,SUCCESS ✅
car9,53,0.9561,0.9746,SUCCESS ✅
