img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
H_009_00004.JPG,H_009_00006.JPG,0.8986,2.745,0.001,0.003,0.958,0.997
H_009_00005.JPG,H_009_00007.JPG,0.8438,2.750,0.001,0.004,0.958,0.997
H_009_00006.JPG,H_009_00008.JPG,0.7880,2.837,0.001,0.494,0.979,0.994
H_009_00007.JPG,H_009_00009.JPG,0.8492,4.082,0.161,0.738,0.939,0.971
H_009_00008.JPG,H_009_00010.JPG,0.7378,8.396,0.001,0.142,0.892,0.949
H_009_00009.JPG,H_009_00011.JPG,0.7776,2.718,0.001,0.004,0.973,0.997
H_009_00010.JPG,H_009_00012.JPG,0.7759,2.666,0.001,0.004,0.988,0.999
H_009_00011.JPG,H_009_00013.JPG,0.7519,2.650,0.001,0.005,0.994,0.999
H_009_00012.JPG,H_009_00014.JPG,0.7587,2.613,0.001,0.004,0.996,0.999
H_009_00013.JPG,H_009_00015.JPG,0.8379,2.662,0.001,0.004,0.979,0.999
H_009_00014.JPG,H_009_00016.JPG,0.8742,2.717,0.001,0.004,0.978,0.999
H_009_00015.JPG,H_009_00017.JPG,0.8761,2.706,0.000,0.005,0.980,0.998
H_009_00016.JPG,H_009_00018.JPG,0.8022,2.874,0.001,0.006,0.981,0.994
H_009_00017.JPG,H_009_00019.JPG,0.8601,2.641,0.002,0.009,0.993,0.999
H_009_00018.JPG,H_009_00020.JPG,0.8797,2.534,0.001,0.008,0.999,0.999
H_009_00019.JPG,H_009_00021.JPG,0.9147,2.533,0.001,0.005,0.998,0.999
H_009_00020.JPG,H_009_00022.JPG,0.9767,2.521,0.001,0.005,0.998,0.999
H_009_00021.JPG,H_009_00023.JPG,0.9348,2.536,0.001,0.005,0.998,0.999
H_009_00022.JPG,H_009_00024.JPG,0.9724,2.523,0.001,0.005,0.998,0.999
H_009_00023.JPG,H_009_00025.JPG,0.9875,2.517,0.001,0.005,0.997,0.999
H_009_00024.JPG,H_009_00026.JPG,0.9805,2.517,0.001,0.006,0.997,0.999
H_009_00025.JPG,H_009_00027.JPG,0.9834,2.525,0.001,0.007,0.997,0.999
H_009_00026.JPG,H_009_00028.JPG,0.9764,2.517,0.001,0.007,0.996,0.999
H_009_00027.JPG,H_009_00029.JPG,0.9616,2.536,0.001,0.007,0.997,0.999
H_009_00028.JPG,H_009_00030.JPG,0.9672,2.551,0.001,0.007,0.996,0.999
H_009_00029.JPG,H_009_00031.JPG,0.9547,2.567,0.001,0.007,0.996,0.999
H_009_00030.JPG,H_009_00032.JPG,0.9425,2.568,0.001,0.008,0.997,0.999
H_009_00031.JPG,H_009_00033.JPG,0.9318,2.552,0.001,0.007,0.998,0.999
H_009_00032.JPG,H_009_00034.JPG,0.9468,2.569,0.001,0.007,0.998,0.999
H_009_00033.JPG,H_009_00035.JPG,0.9744,2.545,0.001,0.006,0.998,0.999
H_009_00034.JPG,H_009_00036.JPG,0.9732,2.514,0.001,0.006,0.998,0.999
H_009_00035.JPG,H_009_00037.JPG,0.9687,2.522,0.001,0.005,0.998,0.999
H_009_00036.JPG,H_009_00038.JPG,0.9743,2.540,0.001,0.006,0.997,1.000
H_009_00037.JPG,H_009_00039.JPG,0.9675,2.528,0.001,0.006,0.996,0.999
H_009_00038.JPG,H_009_00040.JPG,0.9525,2.563,0.001,0.006,0.996,0.999
H_009_00039.JPG,H_009_00041.JPG,0.7529,2.485,0.001,0.011,0.983,1.000
H_009_00040.JPG,H_009_00042.JPG,0.7699,2.864,0.000,0.000,1.000,1.000
H_009_00041.JPG,H_009_00043.JPG,0.7364,2.312,0.002,0.006,0.999,1.000
H_009_00042.JPG,H_009_00044.JPG,0.7414,2.236,0.001,0.013,0.998,1.000
H_009_00043.JPG,H_009_00045.JPG,0.7312,2.582,0.000,0.000,1.000,1.000
H_009_00044.JPG,H_009_00046.JPG,0.9602,2.540,0.001,0.004,0.998,0.999
H_009_00045.JPG,H_009_00047.JPG,0.9589,2.510,0.001,0.005,0.998,0.999
H_009_00046.JPG,H_009_00048.JPG,0.9592,2.511,0.001,0.005,0.998,0.999
H_009_00047.JPG,H_009_00049.JPG,0.9590,2.568,0.001,0.005,0.998,0.999
H_009_00048.JPG,H_009_00050.JPG,0.9457,2.561,0.001,0.005,0.998,0.999
H_009_00049.JPG,H_009_00051.JPG,0.9246,2.533,0.001,0.005,0.998,0.999
H_009_00050.JPG,H_009_00052.JPG,0.9192,2.579,0.001,0.004,0.998,0.999
H_009_00051.JPG,H_009_00053.JPG,0.9384,2.566,0.001,0.005,0.998,0.999
H_009_00052.JPG,H_009_00054.JPG,0.9159,2.579,0.001,0.005,0.998,0.999
H_009_00053.JPG,H_009_00055.JPG,0.9001,2.546,0.001,0.005,0.998,0.999
H_009_00054.JPG,H_009_00056.JPG,0.9031,2.538,0.001,0.004,0.998,0.999
H_009_00055.JPG,H_009_00057.JPG,0.9025,2.590,0.001,0.005,0.998,0.999
H_009_00056.JPG,H_009_00058.JPG,0.9268,2.581,0.000,0.006,0.999,1.000
H_009_00057.JPG,H_009_00059.JPG,0.8810,2.624,0.001,0.006,0.998,0.999
H_009_00058.JPG,H_009_00060.JPG,0.8591,2.651,0.001,0.005,0.998,0.999
H_009_00059.JPG,H_009_00061.JPG,0.8317,2.675,0.001,0.007,0.990,0.999
H_009_00060.JPG,H_009_00062.JPG,0.8454,2.702,0.001,0.006,0.985,0.999
H_009_00061.JPG,H_009_00063.JPG,0.8354,2.666,0.001,0.005,0.986,0.999
H_009_00062.JPG,H_009_00064.JPG,0.9024,2.614,0.001,0.005,0.993,0.999
H_009_00063.JPG,H_009_00065.JPG,0.8867,2.619,0.001,0.005,0.998,0.999
H_009_00064.JPG,H_009_00066.JPG,0.9115,2.621,0.001,0.005,0.998,0.999
H_009_00065.JPG,H_009_00067.JPG,0.8980,2.637,0.001,0.006,0.995,0.999
H_009_00066.JPG,H_009_00068.JPG,0.9137,2.625,0.000,0.006,0.998,0.999
H_009_00067.JPG,H_009_00069.JPG,0.8792,2.695,0.001,0.006,0.981,0.999
H_009_00068.JPG,H_009_00070.JPG,0.8525,2.685,0.001,0.005,0.983,0.999
H_009_00069.JPG,H_009_00071.JPG,0.8648,2.707,0.001,0.005,0.973,0.999
H_009_00070.JPG,H_009_00072.JPG,0.8532,2.753,0.000,0.006,0.962,0.998
H_009_00071.JPG,H_009_00073.JPG,0.9041,2.748,0.001,0.005,0.961,0.998
H_009_00072.JPG,H_009_00074.JPG,0.9326,2.746,0.001,0.006,0.962,0.998
H_009_00073.JPG,H_009_00075.JPG,0.9385,2.730,0.001,0.006,0.968,0.999
H_009_00074.JPG,H_009_00076.JPG,0.9085,2.739,0.001,0.006,0.970,0.999
H_009_00075.JPG,H_009_00077.JPG,0.9319,2.600,0.001,0.005,0.998,0.999
H_009_00076.JPG,H_009_00078.JPG,0.9251,2.577,0.001,0.005,0.998,0.999
H_009_00077.JPG,H_009_00079.JPG,0.9618,2.514,0.001,0.005,0.998,0.999
H_009_00078.JPG,H_009_00080.JPG,0.8653,2.172,0.001,0.338,0.999,1.000
H_009_00079.JPG,H_009_00081.JPG,0.8120,2.634,0.001,0.336,0.999,1.000
H_009_00080.JPG,H_009_00082.JPG,0.8791,2.165,0.001,0.424,0.998,0.999
H_009_00081.JPG,H_009_00083.JPG,0.8808,1.994,0.001,0.676,0.999,1.000
H_009_00082.JPG,H_009_00084.JPG,0.8235,2.371,0.306,0.564,0.931,1.000
H_009_00083.JPG,H_009_00085.JPG,0.7479,4.114,0.000,0.333,0.767,0.949
H_009_00084.JPG,H_009_00086.JPG,0.9439,2.544,0.001,0.016,0.998,0.999
H_009_00085.JPG,H_009_00087.JPG,0.9569,2.533,0.001,0.004,0.998,0.999
H_009_00086.JPG,H_009_00088.JPG,0.9330,2.555,0.001,0.004,0.998,0.999
H_009_00087.JPG,H_009_00089.JPG,0.8901,2.595,0.001,0.004,0.994,0.999
H_009_00088.JPG,H_009_00090.JPG,0.8205,2.675,0.001,0.004,0.972,0.998
H_009_00089.JPG,H_009_00091.JPG,0.7353,3.399,0.001,0.004,0.941,0.988
H_009_00090.JPG,H_009_00092.JPG,0.7311,3.975,0.001,0.004,0.939,0.985
H_009_00091.JPG,H_009_00093.JPG,0.7313,2.689,0.001,0.004,0.970,0.999
H_009_00092.JPG,H_009_00094.JPG,0.7794,2.694,0.000,0.004,0.976,0.999
H_009_00093.JPG,H_009_00095.JPG,0.8156,2.664,0.001,0.005,0.976,0.998
H_009_00094.JPG,H_009_00096.JPG,0.8397,2.691,0.000,0.008,0.980,0.996
H_009_00095.JPG,H_009_00097.JPG,0.7668,3.647,0.001,0.008,0.977,0.989
H_009_00096.JPG,H_009_00098.JPG,0.7811,3.592,0.001,0.050,0.959,0.985
H_009_00097.JPG,H_009_00099.JPG,0.8537,2.649,0.001,0.013,0.988,0.999
H_009_00098.JPG,H_009_00100.JPG,0.8919,2.753,0.001,0.007,0.956,0.995
H_009_00099.JPG,H_009_00101.JPG,0.9173,2.597,0.001,0.006,0.996,0.999
H_009_00100.JPG,H_009_00102.JPG,0.9302,2.568,0.001,0.005,0.998,0.999
H_009_00101.JPG,H_009_00103.JPG,0.9324,2.587,0.001,0.005,0.998,0.999
H_009_00102.JPG,H_009_00104.JPG,0.9314,2.582,0.001,0.006,0.998,0.999
H_009_00103.JPG,H_009_00105.JPG,0.9394,2.605,0.001,0.006,0.996,0.999
