img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
Q_009_00004.JPG,Q_009_00006.JPG,0.8697,3.108,0.001,0.005,0.960,0.997
Q_009_00005.JPG,Q_009_00007.JPG,0.8698,2.928,0.001,0.003,0.996,0.997
Q_009_00006.JPG,Q_009_00008.JPG,0.8164,3.712,0.001,0.004,0.888,0.997
Q_009_00007.JPG,Q_009_00009.JPG,0.8632,12.086,0.001,0.184,0.770,0.926
Q_009_00008.JPG,Q_009_00010.JPG,0.8340,3.320,0.001,0.005,0.940,0.993
Q_009_00009.JPG,Q_009_00011.JPG,0.8750,3.016,0.001,0.005,0.995,0.997
Q_009_00010.JPG,Q_009_00012.JPG,0.9161,2.897,0.000,0.003,0.997,0.998
Q_009_00011.JPG,Q_009_00013.JPG,0.9294,2.900,0.001,0.002,0.997,0.997
Q_009_00012.JPG,Q_009_00014.JPG,0.9169,2.926,0.000,0.003,0.997,0.998
Q_009_00013.JPG,Q_009_00015.JPG,0.8378,2.918,0.000,0.003,0.997,0.998
Q_009_00014.JPG,Q_009_00016.JPG,0.7729,2.940,0.001,0.004,0.996,0.998
Q_009_00015.JPG,Q_009_00017.JPG,0.7874,2.983,0.001,0.004,0.996,0.998
Q_009_00016.JPG,Q_009_00018.JPG,0.8081,2.991,0.001,0.004,0.996,0.998
Q_009_00017.JPG,Q_009_00019.JPG,0.8141,2.987,0.001,0.004,0.995,0.998
Q_009_00018.JPG,Q_009_00020.JPG,0.8291,2.979,0.001,0.004,0.983,0.997
Q_009_00019.JPG,Q_009_00021.JPG,0.8673,2.948,0.001,0.004,0.997,0.997
Q_009_00020.JPG,Q_009_00022.JPG,0.8453,2.953,0.001,0.004,0.996,0.997
Q_009_00021.JPG,Q_009_00023.JPG,0.8677,2.969,0.001,0.004,0.996,0.997
Q_009_00022.JPG,Q_009_00024.JPG,0.8750,2.989,0.001,0.003,0.997,0.997
Q_009_00023.JPG,Q_009_00025.JPG,0.8476,2.966,0.001,0.003,0.997,0.997
Q_009_00024.JPG,Q_009_00026.JPG,0.8848,3.037,0.001,0.004,0.997,0.997
Q_009_00025.JPG,Q_009_00027.JPG,0.8622,3.069,0.001,0.005,0.996,0.997
Q_009_00026.JPG,Q_009_00028.JPG,0.8655,3.064,0.001,0.006,0.996,0.997
Q_009_00027.JPG,Q_009_00029.JPG,0.8664,3.011,0.001,0.004,0.996,0.997
Q_009_00028.JPG,Q_009_00030.JPG,0.8992,2.992,0.001,0.004,0.996,0.997
Q_009_00029.JPG,Q_009_00031.JPG,0.8397,2.990,0.001,0.004,0.996,0.997
Q_009_00030.JPG,Q_009_00032.JPG,0.8377,3.023,0.001,0.005,0.996,0.997
Q_009_00031.JPG,Q_009_00033.JPG,0.7746,3.033,0.001,0.004,0.996,0.998
Q_009_00032.JPG,Q_009_00034.JPG,0.7584,3.148,0.001,0.005,0.996,0.998
Q_009_00033.JPG,Q_009_00035.JPG,0.7584,3.079,0.001,0.005,0.996,0.997
Q_009_00034.JPG,Q_009_00036.JPG,0.8682,2.953,0.001,0.005,0.995,0.997
Q_009_00035.JPG,Q_009_00037.JPG,0.9027,2.923,0.001,0.005,0.996,0.997
Q_009_00036.JPG,Q_009_00038.JPG,0.9276,2.889,0.001,0.004,0.996,0.998
Q_009_00037.JPG,Q_009_00039.JPG,0.9100,2.932,0.001,0.004,0.996,0.997
Q_009_00038.JPG,Q_009_00040.JPG,0.8884,3.011,0.001,0.005,0.996,0.998
Q_009_00039.JPG,Q_009_00041.JPG,0.7625,3.866,0.000,0.000,0.881,0.999
Q_009_00040.JPG,Q_009_00042.JPG,0.7635,2.986,0.001,0.003,0.996,0.998
Q_009_00041.JPG,Q_009_00043.JPG,0.8785,3.119,0.001,0.003,0.997,0.999
