img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
TIMELAPSE_0244.JPG,TIMELAPSE_0246.JPG,0.8356,2.507,0.000,0.271,0.989,0.995
TIMELAPSE_0245.JPG,TIMELAPSE_0247.JPG,0.8244,3.374,0.001,0.041,0.980,0.992
TIMELAPSE_0246.JPG,TIMELAPSE_0248.JPG,0.8159,5.671,0.008,0.025,0.877,0.975
TIMELAPSE_0247.JPG,TIMELAPSE_0249.JPG,0.8192,38.956,0.001,0.017,0.079,0.351
TIMELAPSE_0248.JPG,TIMELAPSE_0250.JPG,0.8255,10.600,0.001,0.019,0.821,0.969
TIMELAPSE_0249.JPG,TIMELAPSE_0251.JPG,0.8039,2.779,0.002,0.028,0.990,0.995
TIMELAPSE_0250.JPG,TIMELAPSE_0252.JPG,0.8228,3.086,0.000,0.026,0.988,0.994
TIMELAPSE_0251.JPG,TIMELAPSE_0253.JPG,0.8187,1.983,0.000,0.971,0.996,0.998
TIMELAPSE_0252.JPG,TIMELAPSE_0254.JPG,0.8150,1.801,0.000,0.985,0.997,0.998
TIMELAPSE_0253.JPG,TIMELAPSE_0255.JPG,0.8380,1.772,0.000,0.977,0.994,0.997
TIMELAPSE_0254.JPG,TIMELAPSE_0256.JPG,0.8214,1.459,0.011,0.988,0.997,0.998
TIMELAPSE_0255.JPG,TIMELAPSE_0257.JPG,0.8229,1.570,0.001,0.987,0.997,0.998
TIMELAPSE_0256.JPG,TIMELAPSE_0258.JPG,0.8292,1.782,0.000,0.983,0.996,0.998
TIMELAPSE_0257.JPG,TIMELAPSE_0259.JPG,0.8246,1.526,0.003,0.987,0.997,0.999
TIMELAPSE_0258.JPG,TIMELAPSE_0260.JPG,0.8228,1.743,0.000,0.979,0.995,0.998
TIMELAPSE_0259.JPG,TIMELAPSE_0261.JPG,0.8426,1.876,0.000,0.966,0.993,0.997
TIMELAPSE_0260.JPG,TIMELAPSE_0262.JPG,0.8498,1.573,0.000,0.985,0.996,0.998
TIMELAPSE_0261.JPG,TIMELAPSE_0263.JPG,0.8594,1.690,0.000,0.980,0.994,0.997
TIMELAPSE_0262.JPG,TIMELAPSE_0264.JPG,0.8310,1.821,0.000,0.981,0.995,0.997
TIMELAPSE_0263.JPG,TIMELAPSE_0265.JPG,0.8276,1.913,0.000,0.971,0.994,0.997
TIMELAPSE_0264.JPG,TIMELAPSE_0266.JPG,0.8655,2.567,0.000,0.825,0.991,0.996
TIMELAPSE_0265.JPG,TIMELAPSE_0267.JPG,0.8170,14.328,0.012,0.051,0.737,0.930
TIMELAPSE_0266.JPG,TIMELAPSE_0268.JPG,0.8228,86.691,0.004,0.032,0.135,0.347
TIMELAPSE_0267.JPG,TIMELAPSE_0269.JPG,0.8669,21.677,0.002,0.064,0.325,0.746
TIMELAPSE_0268.JPG,TIMELAPSE_0270.JPG,0.8480,5.262,0.005,0.095,0.957,0.982
TIMELAPSE_0269.JPG,TIMELAPSE_0271.JPG,0.8564,2.415,0.000,0.751,0.989,0.995
TIMELAPSE_0270.JPG,TIMELAPSE_0272.JPG,0.8631,2.325,0.000,0.935,0.993,0.996
TIMELAPSE_0271.JPG,TIMELAPSE_0273.JPG,0.8546,2.392,0.001,0.487,0.990,0.995
TIMELAPSE_0272.JPG,TIMELAPSE_0274.JPG,0.8652,2.449,0.000,0.847,0.986,0.993
TIMELAPSE_0273.JPG,TIMELAPSE_0275.JPG,0.8595,1.947,0.000,0.973,0.996,0.998
